Fecha;IPCNAC;M0;DGA;DGI;RSS;RTT
1/1/1940;NA;NA;NA;NA;NA;NA
1/2/1940;NA;0,000000e+00;NA;NA;NA;NA
1/3/1940;NA;0,000000e+00;NA;NA;NA;NA
1/4/1940;NA;0,000000e+00;NA;NA;NA;NA
1/5/1940;NA;0,000000e+00;NA;NA;NA;NA
1/6/1940;NA;1.84E-01;NA;NA;NA;NA
1/7/1940;NA;1.85E-01;NA;NA;NA;NA
1/8/1940;NA;1.80E-01;NA;NA;NA;NA
1/9/1940;NA;1.76E-01;NA;NA;NA;NA
1/10/1940;NA;1.78E-01;NA;NA;NA;NA
1/11/1940;NA;1.85E-01;NA;NA;NA;NA
1/12/1940;NA;1.88E-01;NA;NA;NA;NA
1/1/1941;NA;1.93E-01;NA;NA;NA;NA
1/2/1941;NA;1.90E-01;NA;NA;NA;NA
1/3/1941;NA;1.94E-01;NA;NA;NA;NA
1/4/1941;NA;1.96E-01;NA;NA;NA;NA
1/5/1941;NA;2.02E-01;NA;NA;NA;NA
1/6/1941;NA;2.12E-01;NA;NA;NA;NA
1/7/1941;NA;2.17E-01;NA;NA;NA;NA
1/8/1941;NA;2.06E-01;NA;NA;NA;NA
1/9/1941;NA;2.07E-01;NA;NA;NA;NA
1/10/1941;NA;2.11E-01;NA;NA;NA;NA
1/11/1941;NA;2.06E-01;NA;NA;NA;NA
1/12/1941;NA;2.22E-01;NA;NA;NA;NA
1/1/1942;NA;2.22E-01;NA;NA;NA;NA
1/2/1942;NA;2.30E-01;NA;NA;NA;NA
1/3/1942;NA;2.30E-01;NA;NA;NA;NA
1/4/1942;NA;2.34E-01;NA;NA;NA;NA
1/5/1942;NA;2.37E-01;NA;NA;NA;NA
1/6/1942;NA;2.44E-01;NA;NA;NA;NA
1/7/1942;NA;2.43E-01;NA;NA;NA;NA
1/8/1942;NA;2.42E-01;NA;NA;NA;NA
1/9/1942;NA;2.49E-01;NA;NA;NA;NA
1/10/1942;NA;2.60E-01;NA;NA;NA;NA
1/11/1942;NA;2.58E-01;NA;NA;NA;NA
1/12/1942;NA;2.68E-01;NA;NA;NA;NA
1/1/1943;1.03E-07;2.70E-01;NA;NA;NA;NA
1/2/1943;1.02E-07;2.69E-01;NA;NA;NA;NA
1/3/1943;1.04E-07;2.74E-01;NA;NA;NA;NA
1/4/1943;1.05E-07;2.74E-01;NA;NA;NA;NA
1/5/1943;1.04E-07;2.78E-01;NA;NA;NA;NA
1/6/1943;1.04E-07;2.86E-01;NA;NA;NA;NA
1/7/1943;9.81E-08;2.86E-01;NA;NA;NA;NA
1/8/1943;9.91E-08;2.94E-01;NA;NA;NA;NA
1/9/1943;9.82E-08;2.88E-01;NA;NA;NA;NA
1/10/1943;9.92E-08;3.15E-01;NA;NA;NA;NA
1/11/1943;9.92E-08;3.23E-01;NA;NA;NA;NA
1/12/1943;9.89E-08;3.35E-01;NA;NA;NA;NA
1/1/1944;9.96E-08;3.44E-01;NA;NA;NA;NA
1/2/1944;9.98E-08;3.63E-01;NA;NA;NA;NA
1/3/1944;1.00E-07;3.70E-01;NA;NA;NA;NA
1/4/1944;9.93E-08;3.64E-01;NA;NA;NA;NA
1/5/1944;9.89E-08;3.64E-01;NA;NA;NA;NA
1/6/1944;1.01E-07;3.76E-01;NA;NA;NA;NA
1/7/1944;1.01E-07;3.71E-01;NA;NA;NA;NA
1/8/1944;1.02E-07;3.88E-01;NA;NA;NA;NA
1/9/1944;1.02E-07;3.95E-01;NA;NA;NA;NA
1/10/1944;1.03E-07;3.98E-01;NA;NA;NA;NA
1/11/1944;1.03E-07;4.01E-01;NA;NA;NA;NA
1/12/1944;1.03E-07;4.15E-01;NA;NA;NA;NA
1/1/1945;1.11E-07;4.15E-01;NA;NA;NA;NA
1/2/1945;1.13E-07;4.16E-01;NA;NA;NA;NA
1/3/1945;1.21E-07;4.20E-01;NA;NA;NA;NA
1/4/1945;1.21E-07;4.47E-01;NA;NA;NA;NA
1/5/1945;1.22E-07;4.52E-01;NA;NA;NA;NA
1/6/1945;1.22E-07;4.51E-01;NA;NA;NA;NA
1/7/1945;1.23E-07;4.58E-01;NA;NA;NA;NA
1/8/1945;1.22E-07;4.64E-01;NA;NA;NA;NA
1/9/1945;1.23E-07;4.70E-01;NA;NA;NA;NA
1/10/1945;1.23E-07;4.86E-01;NA;NA;NA;NA
1/11/1945;1.23E-07;4.90E-01;NA;NA;NA;NA
1/12/1945;1.26E-07;5.04E-01;NA;NA;NA;NA
1/1/1946;1.35E-07;5.09E-01;NA;NA;NA;NA
1/2/1946;1.35E-07;5.19E-01;NA;NA;NA;NA
1/3/1946;1.39E-07;5.21E-01;NA;NA;NA;NA
1/4/1946;1.41E-07;5.22E-01;NA;NA;NA;NA
1/5/1946;1.41E-07;3.47E-01;NA;NA;NA;NA
1/6/1946;1.43E-07;3.49E-01;NA;NA;NA;NA
1/7/1946;1.44E-07;3.62E-01;NA;NA;NA;NA
1/8/1946;1.43E-07;3.66E-01;NA;NA;NA;NA
1/9/1946;1.43E-07;3.69E-01;NA;NA;NA;NA
1/10/1946;1.46E-07;3.73E-01;NA;NA;NA;NA
1/11/1946;1.47E-07;3.77E-01;NA;NA;NA;NA
1/12/1946;1.49E-07;4.12E-01;NA;NA;NA;NA
1/1/1947;1.48E-07;4.10E-01;NA;NA;NA;NA
1/2/1947;1.49E-07;4.13E-01;NA;NA;NA;NA
1/3/1947;1.58E-07;4.16E-01;NA;NA;NA;NA
1/4/1947;1.58E-07;4.26E-01;NA;NA;NA;NA
1/5/1947;1.59E-07;4.36E-01;NA;NA;NA;NA
1/6/1947;1.66E-07;4.46E-01;NA;NA;NA;NA
1/7/1947;1.64E-07;4.58E-01;NA;NA;NA;NA
1/8/1947;1.66E-07;4.65E-01;NA;NA;NA;NA
1/9/1947;1.66E-07;4.71E-01;NA;NA;NA;NA
1/10/1947;1.65E-07;4.80E-01;NA;NA;NA;NA
1/11/1947;1.67E-07;4.89E-01;NA;NA;NA;NA
1/12/1947;1.72E-07;5.40E-01;NA;NA;NA;NA
1/1/1948;1.69E-07;5.31E-01;NA;NA;NA;NA
1/2/1948;1.69E-07;5.43E-01;NA;NA;NA;NA
1/3/1948;1.72E-07;5.57E-01;NA;NA;NA;NA
1/4/1948;1.73E-07;5.74E-01;NA;NA;NA;NA
1/5/1948;1.77E-07;5.84E-01;NA;NA;NA;NA
1/6/1948;1.82E-07;6.01E-01;NA;NA;NA;NA
1/7/1948;1.81E-07;6.13E-01;NA;NA;NA;NA
1/8/1948;1.85E-07;6.28E-01;NA;NA;NA;NA
1/9/1948;1.93E-07;6.49E-01;NA;NA;NA;NA
1/10/1948;1.93E-07;6.71E-01;NA;NA;NA;NA
1/11/1948;1.94E-07;7.04E-01;NA;NA;NA;NA
1/12/1948;2.04E-07;7.75E-01;NA;NA;NA;NA
1/1/1949;2.05E-07;7.60E-01;NA;NA;NA;NA
1/2/1949;2.05E-07;7.82E-01;NA;NA;NA;NA
1/3/1949;2.19E-07;7.87E-01;NA;NA;NA;NA
1/4/1949;2.29E-07;7.94E-01;NA;NA;NA;NA
1/5/1949;2.36E-07;8.10E-01;NA;NA;NA;NA
1/6/1949;2.39E-07;8.23E-01;NA;NA;NA;NA
1/7/1949;2.43E-07;8.33E-01;NA;NA;NA;NA
1/8/1949;2.47E-07;8.45E-01;NA;NA;NA;NA
1/9/1949;2.51E-07;8.59E-01;NA;NA;NA;NA
1/10/1949;2.58E-07;8.99E-01;NA;NA;NA;NA
1/11/1949;2.66E-07;9.21E-01;NA;NA;NA;NA
1/12/1949;2.73E-07;1.03E+00;NA;NA;NA;NA
1/1/1950;2.68E-07;1.01E+00;NA;NA;NA;NA
1/2/1950;2.75E-07;1.03E+00;NA;NA;NA;NA
1/3/1950;2.75E-07;1.03E+00;NA;NA;NA;NA
1/4/1950;2.81E-07;1.05E+00;NA;NA;NA;NA
1/5/1950;2.94E-07;1.07E+00;NA;NA;NA;NA
1/6/1950;3.03E-07;1.07E+00;NA;NA;NA;NA
1/7/1950;3.03E-07;1.09E+00;NA;NA;NA;NA
1/8/1950;3.04E-07;1.11E+00;NA;NA;NA;NA
1/9/1950;3.16E-07;1.13E+00;NA;NA;NA;NA
1/10/1950;3.28E-07;1.17E+00;NA;NA;NA;NA
1/11/1950;3.27E-07;1.19E+00;NA;NA;NA;NA
1/12/1950;3.33E-07;1.33E+00;NA;NA;NA;NA
1/1/1951;3.30E-07;1.33E+00;NA;NA;NA;NA
1/2/1951;3.40E-07;1.35E+00;NA;NA;NA;NA
1/3/1951;3.41E-07;1.36E+00;NA;NA;NA;NA
1/4/1951;3.71E-07;1.38E+00;NA;NA;NA;NA
1/5/1951;3.99E-07;1.43E+00;NA;NA;NA;NA
1/6/1951;4.12E-07;1.46E+00;NA;NA;NA;NA
1/7/1951;4.16E-07;1.48E+00;NA;NA;NA;NA
1/8/1951;4.54E-07;1.51E+00;NA;NA;NA;NA
1/9/1951;4.45E-07;1.53E+00;NA;NA;NA;NA
1/10/1951;4.59E-07;1.55E+00;NA;NA;NA;NA
1/11/1951;4.61E-07;1.60E+00;NA;NA;NA;NA
1/12/1951;5.01E-07;1.77E+00;NA;NA;NA;NA
1/1/1952;5.20E-07;1.73E+00;NA;NA;NA;NA
1/2/1952;5.24E-07;1.73E+00;NA;NA;NA;NA
1/3/1952;5.39E-07;1.72E+00;NA;NA;NA;NA
1/4/1952;5.73E-07;1.73E+00;NA;NA;NA;NA
1/5/1952;5.82E-07;1.74E+00;NA;NA;NA;NA
1/6/1952;5.94E-07;1.76E+00;NA;NA;NA;NA
1/7/1952;5.70E-07;1.77E+00;NA;NA;NA;NA
1/8/1952;5.67E-07;1.78E+00;NA;NA;NA;NA
1/9/1952;5.86E-07;1.80E+00;NA;NA;NA;NA
1/10/1952;5.92E-07;1.83E+00;NA;NA;NA;NA
1/11/1952;5.94E-07;1.88E+00;NA;NA;NA;NA
1/12/1952;5.96E-07;2.13E+00;NA;NA;NA;NA
1/1/1953;5.88E-07;2.10E+00;NA;NA;NA;NA
1/2/1953;6.22E-07;2.13E+00;NA;NA;NA;NA
1/3/1953;6.20E-07;2.15E+00;NA;NA;NA;NA
1/4/1953;5.94E-07;2.17E+00;NA;NA;NA;NA
1/5/1953;5.84E-07;2.19E+00;NA;NA;NA;NA
1/6/1953;5.83E-07;2.23E+00;NA;NA;NA;NA
1/7/1953;5.87E-07;2.25E+00;NA;NA;NA;NA
1/8/1953;5.88E-07;2.28E+00;NA;NA;NA;NA
1/9/1953;5.84E-07;2.32E+00;NA;NA;NA;NA
1/10/1953;5.81E-07;2.36E+00;NA;NA;NA;NA
1/11/1953;5.86E-07;2.44E+00;NA;NA;NA;NA
1/12/1953;5.92E-07;2.65E+00;NA;NA;NA;NA
1/1/1954;5.80E-07;2.60E+00;NA;NA;NA;NA
1/2/1954;5.79E-07;2.58E+00;NA;NA;NA;NA
1/3/1954;5.80E-07;2.59E+00;NA;NA;NA;NA
1/4/1954;5.92E-07;2.61E+00;NA;NA;NA;NA
1/5/1954;5.91E-07;2.60E+00;NA;NA;NA;NA
1/6/1954;6.00E-07;2.62E+00;NA;NA;NA;NA
1/7/1954;6.13E-07;2.64E+00;NA;NA;NA;NA
1/8/1954;6.18E-07;2.70E+00;NA;NA;NA;NA
1/9/1954;6.33E-07;2.74E+00;NA;NA;NA;NA
1/10/1954;6.51E-07;2.78E+00;NA;NA;NA;NA
1/11/1954;6.58E-07;2.87E+00;NA;NA;NA;NA
1/12/1954;6.86E-07;3.16E+00;NA;NA;NA;NA
1/1/1955;6.71E-07;3.13E+00;NA;NA;NA;NA
1/2/1955;6.72E-07;3.15E+00;NA;NA;NA;NA
1/3/1955;6.73E-07;3.15E+00;NA;NA;NA;NA
1/4/1955;6.83E-07;3.13E+00;NA;NA;NA;NA
1/5/1955;6.84E-07;3.14E+00;NA;NA;NA;NA
1/6/1955;6.88E-07;3.16E+00;NA;NA;NA;NA
1/7/1955;6.91E-07;3.18E+00;NA;NA;NA;NA
1/8/1955;6.93E-07;3.21E+00;NA;NA;NA;NA
1/9/1955;6.98E-07;3.27E+00;NA;NA;NA;NA
1/10/1955;6.98E-07;3.33E+00;NA;NA;NA;NA
1/11/1955;6.98E-07;3.41E+00;NA;NA;NA;NA
1/12/1955;7.38E-07;3.75E+00;NA;NA;NA;NA
1/1/1956;7.28E-07;3.71E+00;NA;NA;NA;NA
1/2/1956;7.23E-07;3.69E+00;NA;NA;NA;NA
1/3/1956;7.21E-07;3.71E+00;NA;NA;NA;NA
1/4/1956;7.47E-07;3.71E+00;NA;NA;NA;NA
1/5/1956;7.76E-07;3.73E+00;NA;NA;NA;NA
1/6/1956;8.06E-07;3.75E+00;NA;NA;NA;NA
1/7/1956;8.01E-07;3.76E+00;NA;NA;NA;NA
